date,close,volume

01/01/1900,0,0
01/01/1900,0,0
01/01/1900,0,0
01/01/1900,0,0
01/01/1900,0,0
01/01/1900,0,0
01/01/1900,0,0
01/01/1900,0,0
01/01/1900,,0
01/01/1900,,0
01/01/1900,,0
01/01/1900,,0
01/01/1900,,0
,0,0
01/01/1900,,0
01/01/1900,0,0
1/6/2014,12.5,10000

1/6/2014,12.5,0

01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/07/2014,12.05,6
01/08/2014,12.05,0
01/09/2014,12.05,0
01/10/2014,12.00,10
01/13/2014,12.00,1
01/14/2014,12.00,0
01/15/2014,12.20,260
01/16/2014,12.20,1
01/17/2014,12.20,0
01/20/2014,12.20,0
01/21/2014,12.35,20
01/22/2014,12.45,155
01/23/2014,12.45,0
01/24/2014,12.55,16
01/27/2014,12.55,7
01/28/2014,12.15,115
01/29/2014,12.15,0
01/30/2014,12.00,163
01/31/2014,12.00,1
02/03/2014,12.00,0
02/04/2014,12.15,2
02/05/2014,12.15,0
02/06/2014,12.15,0
02/07/2014,12.30,270
02/10/2014,12.30,0
02/11/2014,12.15,90
02/12/2014,12.15,0
02/13/2014,12.15,0
02/14/2014,12.15,0
02/17/2014,12.15,0